iter	Passed	Remaining
0	4	436
1	8	408
2	11	384
3	15	380
4	20	381
5	23	375
6	27	368
7	31	366
8	35	363
9	39	359
10	43	354
11	47	351
12	51	347
13	55	342
14	59	337
15	63	334
16	67	328
17	71	324
18	74	319
19	78	314
20	82	310
21	86	306
22	90	303
23	94	298
24	98	294
25	101	289
26	106	286
27	109	282
28	113	278
29	117	274
30	121	270
31	125	267
32	129	262
33	133	258
34	137	255
35	141	251
36	145	247
37	149	244
38	153	240
39	157	236
40	163	234
41	167	231
42	171	227
43	174	222
44	178	217
45	182	214
46	186	210
47	190	206
48	194	202
49	198	198
50	202	194
51	206	190
52	210	187
53	215	183
54	219	179
55	223	175
56	227	171
57	231	167
58	235	163
59	239	159
60	243	155
61	247	151
62	251	147
63	255	143
64	259	139
65	263	135
66	267	131
67	271	127
68	275	123
69	279	119
70	282	115
71	286	111
72	290	107
73	294	103
74	298	99
75	302	95
76	306	91
77	310	87
78	312	83
79	316	79
80	320	75
81	324	71
82	328	67
83	332	63
84	335	59
85	339	55
86	343	51
87	345	47
88	348	43
89	350	38
90	352	34
91	354	30
92	356	26
93	358	22
94	360	18
95	361	15
96	363	11
97	365	7
98	367	3
99	369	0
