iter	Passed	Remaining
0	6	6226
1	12	6054
2	17	5764
3	22	5721
4	27	5556
5	33	5471
6	37	5362
7	43	5332
8	47	5230
9	51	5125
10	58	5234
11	63	5225
12	67	5142
13	73	5150
14	78	5182
15	83	5123
16	87	5087
17	93	5086
18	97	5034
19	101	4993
20	107	5001
21	112	4987
22	117	4984
23	122	4992
24	127	4961
25	132	4962
26	137	4969
27	142	4931
28	147	4940
29	153	4951
30	157	4923
31	162	4928
32	168	4925
33	172	4897
34	178	4908
35	182	4895
36	186	4858
37	190	4811
38	193	4772
39	195	4698
40	197	4625
41	200	4571
42	202	4507
43	204	4446
44	207	4399
45	209	4343
46	211	4285
47	213	4229
48	215	4177
49	217	4132
50	220	4104
51	222	4063
52	224	4018
53	227	3977
54	228	3933
55	230	3890
56	233	3861
57	236	3844
58	238	3809
59	240	3775
60	243	3746
61	245	3714
62	247	3685
63	250	3666
64	253	3643
65	255	3612
66	257	3584
67	259	3555
68	261	3528
69	263	3504
70	266	3486
71	268	3465
72	271	3442
73	273	3416
74	275	3391
75	277	3370
76	280	3358
77	282	3334
78	283	3308
79	285	3282
80	287	3256
81	288	3231
82	289	3199
83	291	3177
84	294	3164
85	296	3148
86	297	3124
87	299	3103
88	300	3080
89	302	3058
90	304	3037
91	305	3020
92	307	3003
93	310	2990
94	312	2977
95	314	2961
96	316	2944
97	317	2926
98	319	2907
99	321	2891
100	323	2882
101	325	2867
102	327	2851
103	329	2834
104	330	2819
105	332	2803
106	334	2788
107	335	2773
108	337	2761
109	339	2750
110	341	2735
111	343	2720
112	344	2705
113	346	2691
114	347	2676
115	349	2664
116	351	2652
117	353	2640
118	354	2626
119	356	2613
120	358	2600
121	359	2585
122	360	2572
123	362	2560
124	364	2548
125	366	2541
126	368	2535
127	370	2524
128	372	2513
129	373	2502
130	375	2490
131	377	2479
132	379	2474
133	382	2470
134	384	2460
135	385	2449
136	387	2439
137	389	2430
138	390	2421
139	393	2414
140	396	2413
141	397	2403
142	399	2394
143	401	2387
144	403	2379
145	405	2370
146	406	2361
147	409	2354
148	412	2353
149	414	2347
150	416	2339
151	417	2331
152	419	2324
153	421	2316
154	423	2310
155	426	2306
156	428	2303
157	430	2295
158	432	2286
159	434	2279
160	435	2268
161	437	2262
162	439	2256
163	441	2252
164	443	2244
165	445	2237
166	446	2229
167	448	2222
168	450	2214
169	452	2207
170	454	2203
171	456	2198
172	458	2191
173	460	2184
174	462	2178
175	463	2171
176	465	2164
177	467	2160
178	469	2154
179	471	2149
180	473	2142
181	475	2136
182	476	2129
183	478	2123
184	480	2117
185	483	2115
186	485	2109
187	487	2103
188	488	2097
189	490	2091
190	492	2084
191	493	2078
192	496	2073
193	498	2070
194	500	2065
195	502	2060
196	504	2054
197	505	2048
198	507	2042
199	509	2036
200	511	2032
201	513	2028
202	515	2024
203	517	2018
204	519	2013
205	520	2007
206	522	2000
207	523	1994
208	526	1990
209	528	1986
210	529	1981
211	531	1975
212	533	1970
213	534	1964
214	536	1958
215	538	1952
216	539	1947
217	542	1946
218	544	1941
219	546	1936
220	547	1931
221	549	1925
222	551	1920
223	552	1915
224	554	1910
225	558	1912
226	560	1908
227	562	1903
228	564	1899
229	565	1893
230	567	1888
231	569	1883
232	571	1879
233	572	1875
234	574	1870
235	576	1865
236	578	1861
237	580	1857
238	581	1852
239	583	1849
240	585	1844
241	587	1840
242	589	1837
243	592	1835
244	594	1830
245	595	1826
246	597	1821
247	599	1818
248	601	1814
249	603	1811
250	605	1806
251	606	1801
252	608	1797
253	610	1792
254	612	1788
255	614	1786
256	616	1782
257	618	1778
258	620	1773
259	621	1769
260	623	1765
261	625	1760
262	626	1756
263	628	1752
264	631	1750
265	632	1746
266	634	1741
267	636	1737
268	637	1733
269	639	1728
270	641	1724
271	643	1722
272	645	1719
273	647	1715
274	649	1711
275	650	1706
276	652	1702
277	654	1698
278	655	1694
279	657	1691
280	659	1688
281	661	1684
282	663	1680
283	664	1675
284	666	1672
285	668	1668
286	670	1665
287	672	1662
288	675	1660
289	676	1656
290	678	1652
291	679	1648
292	681	1644
293	683	1641
294	685	1637
295	687	1634
296	689	1632
297	691	1628
298	692	1624
299	694	1620
300	696	1617
301	698	1613
302	699	1609
303	701	1606
304	703	1602
305	705	1599
306	706	1595
307	708	1591
308	710	1587
309	711	1583
310	713	1580
311	714	1576
312	717	1574
313	719	1571
314	721	1568
315	723	1565
316	724	1561
317	726	1558
318	728	1554
319	730	1552
320	732	1549
321	734	1546
322	736	1544
323	738	1540
324	740	1537
325	741	1533
326	743	1530
327	745	1528
328	747	1525
329	749	1521
330	751	1518
331	753	1515
332	755	1512
333	756	1509
334	759	1507
335	762	1505
336	764	1504
337	766	1501
338	768	1498
339	770	1494
340	771	1491
341	773	1488
342	776	1486
343	778	1484
344	780	1481
345	781	1478
346	783	1474
347	785	1471
348	786	1467
349	789	1465
350	791	1463
351	793	1460
352	795	1457
353	796	1454
354	798	1450
355	800	1447
356	802	1444
357	804	1443
358	807	1440
359	808	1437
360	810	1434
361	812	1431
362	813	1427
363	815	1424
364	817	1421
365	819	1419
366	821	1417
367	823	1414
368	825	1411
369	826	1408
370	828	1405
371	830	1401
372	832	1399
373	834	1396
374	836	1393
375	837	1390
376	839	1387
377	841	1384
378	843	1381
379	844	1378
380	846	1375
381	849	1373
382	851	1371
383	853	1368
384	854	1365
385	856	1362
386	858	1359
387	860	1356
388	862	1354
389	864	1352
390	866	1349
391	867	1346
392	869	1343
393	871	1340
394	873	1337
395	874	1334
396	876	1331
397	879	1329
398	880	1326
399	882	1323
400	884	1321
401	886	1318
402	887	1315
403	889	1312
404	892	1310
405	894	1308
406	896	1305
407	897	1302
408	899	1299
409	901	1297
410	903	1294
411	904	1291
412	907	1289
413	909	1287
414	911	1284
415	912	1281
416	914	1278
417	916	1276
418	918	1273
419	920	1271
420	922	1268
421	924	1265
